Country,Region,Year,Indicator,Value
Australia,Oceania,2015,Obesity Rate,23.51
Australia,Oceania,2015,Smoking Rate,9.81
Australia,Oceania,2015,Anaemia Rate,40.33
Australia,Oceania,2015,Life Expectancy,66.19
Australia,Oceania,2015,Diabetes Rate,6.69
Australia,Oceania,2016,Obesity Rate,34.96
Australia,Oceania,2016,Smoking Rate,14.29
Australia,Oceania,2016,Anaemia Rate,33.39
Australia,Oceania,2016,Life Expectancy,79.66
Australia,Oceania,2016,Diabetes Rate,7.1
Australia,Oceania,2017,Obesity Rate,21.41
Australia,Oceania,2017,Smoking Rate,21.91
Australia,Oceania,2017,Anaemia Rate,14.98
Australia,Oceania,2017,Life Expectancy,72.11
Australia,Oceania,2017,Diabetes Rate,9.26
Australia,Oceania,2018,Obesity Rate,32.57
Australia,Oceania,2018,Smoking Rate,21.52
Australia,Oceania,2018,Anaemia Rate,40.01
Australia,Oceania,2018,Life Expectancy,78.88
Australia,Oceania,2018,Diabetes Rate,11.46
Australia,Oceania,2019,Obesity Rate,20.61
Australia,Oceania,2019,Smoking Rate,14.57
Australia,Oceania,2019,Anaemia Rate,43.18
Australia,Oceania,2019,Life Expectancy,81.96
Australia,Oceania,2019,Diabetes Rate,8.81
Australia,Oceania,2020,Obesity Rate,27.39
Australia,Oceania,2020,Smoking Rate,17.39
Australia,Oceania,2020,Anaemia Rate,30.3
Australia,Oceania,2020,Life Expectancy,83.7
Australia,Oceania,2020,Diabetes Rate,5.92
Australia,Oceania,2021,Obesity Rate,23.55
Australia,Oceania,2021,Smoking Rate,22.84
Australia,Oceania,2021,Anaemia Rate,13.75
Australia,Oceania,2021,Life Expectancy,81.08
Australia,Oceania,2021,Diabetes Rate,6.39
Australia,Oceania,2022,Obesity Rate,31.9
Australia,Oceania,2022,Smoking Rate,7.96
Australia,Oceania,2022,Anaemia Rate,26.46
Australia,Oceania,2022,Life Expectancy,67.92
Australia,Oceania,2022,Diabetes Rate,12.0
Australia,Oceania,2023,Obesity Rate,22.69
Australia,Oceania,2023,Smoking Rate,17.88
Australia,Oceania,2023,Anaemia Rate,11.65
Australia,Oceania,2023,Life Expectancy,67.03
Australia,Oceania,2023,Diabetes Rate,16.5
Bangladesh,Asia,2015,Obesity Rate,33.16
Bangladesh,Asia,2015,Smoking Rate,25.86
Bangladesh,Asia,2015,Anaemia Rate,32.67
Bangladesh,Asia,2015,Life Expectancy,69.79
